source_TF,target_gene,log2FC,culture_condition,evidence
ETV5,ATP9A,0.5085531829614112,Rest,kNN_predicted
ETV5,CCL1,0.6468883078643347,Rest,kNN_predicted
ETV5,COL6A2,0.5380263981535036,Rest,kNN_predicted
ETV5,CRTAM,0.5418039147183694,Rest,kNN_predicted
ETV5,DSG2,0.5048926065453666,Rest,kNN_predicted
ETV5,GNG4,0.5178978186803718,Rest,kNN_predicted
ETV6,ASB2,0.557545950198647,Rest,kNN_predicted
ETV6,HHLA2,0.5304601638280608,Rest,kNN_predicted
ETV6,PLXND1,0.5267717444511681,Rest,kNN_predicted
ETV6,RGS6,0.5101242374256986,Rest,kNN_predicted
ETV6,SIGLEC6,-0.7168490201208978,Rest,kNN_predicted
ETV6,STON2,0.5547020414191532,Rest,kNN_predicted
EVX1,SPP1,0.6179292746983428,Rest,kNN_predicted
EVX1,XCL2,0.7662987266174666,Rest,kNN_predicted
FAM170A,CCL1,0.6085669356319401,Rest,kNN_predicted
FAM170A,CRTAM,0.8537219414208034,Rest,kNN_predicted
FAM200B,MT1G,0.5961749321381713,Rest,kNN_predicted
FAM200B,MT1H,0.7820346956741178,Rest,kNN_predicted
FEV,PMCH,0.595735326862926,Rest,kNN_predicted
FEZF2,GZMK,0.501331347747222,Rest,kNN_predicted
FEZF2,PMCH,1.0217971991784636,Rest,kNN_predicted
FIZ1,ZSCAN18,0.5192683835535078,Rest,kNN_predicted
FLYWCH1,DYNC2H1,0.5288050160768398,Rest,kNN_predicted
FOSB,GNLY,-0.873463019425527,Rest,kNN_predicted
FOSB,TOX2,0.6620746692064507,Rest,kNN_predicted
FOXB1,AKR1C3,-0.536768190618324,Rest,kNN_predicted
FOXB1,GNLY,-0.8929467218243623,Rest,kNN_predicted
FOXB1,RTKN2,-0.5904804259483964,Rest,kNN_predicted
FOXB2,IL2,0.5723279379139116,Rest,kNN_predicted
FOXC1,MT1G,0.5828737957338819,Rest,kNN_predicted
FOXC1,MT1H,0.7645868802774825,Rest,kNN_predicted
FOXC1,STON2,0.547012411156039,Rest,kNN_predicted
FOXC1,TCN2,0.5295516632208231,Rest,kNN_predicted
FOXC2,IL22,0.5477023719716402,Rest,kNN_predicted
FOXD1,GZMK,0.5056677275935811,Rest,kNN_predicted
FOXD2,IFIT3,0.5478034991931826,Rest,kNN_predicted
FOXD4L1,EOMES,0.5840252406183569,Rest,kNN_predicted
FOXD4L1,KLRB1,0.5415193731548905,Rest,kNN_predicted
FOXD4L1,PMCH,0.5768288903397037,Rest,kNN_predicted
FOXD4L3,CCL3,0.5327252430858757,Rest,kNN_predicted
FOXD4L3,GSDME,0.524809674401592,Rest,kNN_predicted
FOXD4L3,NTNG2,0.5679932972946226,Rest,kNN_predicted
FOXD4L3,SLC35G2,0.5003139108943357,Rest,kNN_predicted
FOXD4L3,SPINT2,0.5533169624687221,Rest,kNN_predicted
FOXD4L4,KLRB1,0.5178467575209335,Rest,kNN_predicted
FOXG1,SPP1,0.5108845357344939,Rest,kNN_predicted
FOXH1,CCL1,0.5192646427301463,Rest,kNN_predicted
FOXH1,CFH,0.5492800488664418,Rest,kNN_predicted
FOXH1,IL3,0.5060566501260699,Rest,kNN_predicted
FOXI1,FAM20C,0.5824337112803157,Rest,kNN_predicted
FOXI1,KIF26A,0.5121761060900405,Rest,kNN_predicted
FOXI1,ZNF347,0.5195543408000957,Rest,kNN_predicted
FOXI1,ZNF844,0.6109734009610572,Rest,kNN_predicted
FOXI1,ZSCAN18,0.6613468551094601,Rest,kNN_predicted
FOXI2,RNASE6,0.5414663339174045,Rest,kNN_predicted
