source,target,predicted_log2FC,predicted_direction,abs_predicted_log2FC,method,state,embedding_mode,k,metric
GPBP1L1,IRF6,0.5025461842302221,up,0.5025461842302221,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,LSR,0.5267175530649659,up,0.5267175530649659,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,RTKN2,-0.5906222008792655,down,0.5906222008792655,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,SPINT2,0.5150278004754631,up,0.5150278004754631,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIC1,LYZ,-0.6398634881885276,down,0.6398634881885276,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,CD180,0.759337171138294,up,0.759337171138294,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,CYP1A1,0.5998673622496744,up,0.5998673622496744,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,FAM20C,0.5436894826722687,up,0.5436894826722687,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,VNN2,0.59265342925744,up,0.59265342925744,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,ZNF844,0.570330676026342,up,0.570330676026342,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,ZSCAN18,0.6173532241651796,up,0.6173532241651796,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,CCL1,0.5347947420777039,up,0.5347947420777039,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,CRTAM,0.7502313693630331,up,0.7502313693630331,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,LGMN,0.5276895140266337,up,0.5276895140266337,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,TNFRSF9,0.508867150700055,up,0.508867150700055,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGN3,GNLY,-0.5622821369228961,down,0.5622821369228961,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,BAIAP2L1,0.6728653756518276,up,0.6728653756518276,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
