candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
ETS1,6,ATMIN,0.45923186815383477,0.5407681318461652
ETS1,7,NAIF1,0.46434246021816916,0.5356575397818308
ETS1,8,POU6F1,0.47705164131104216,0.5229483586889578
ETS1,9,NPAS2,0.47903039115184687,0.5209696088481531
ETS1,10,THRA,0.48182362416748625,0.5181763758325137
ETV6,1,ZSCAN22,0.4399617771548652,0.5600382228451348
ETV6,2,REPIN1,0.44219189986896035,0.5578081001310397
ETV6,3,ZNF18,0.462160542234477,0.537839457765523
ETV6,4,ZNF652,0.488161643032763,0.511838356967237
ETV6,5,ZNF211,0.49468601202982554,0.5053139879701745
ETV6,6,ADNP2,0.4993189531703234,0.5006810468296766
ETV6,7,ZNF470,0.5135365084549248,0.4864634915450752
ETV6,8,MEF2D,0.5219998250231287,0.4780001749768713
ETV6,9,ZNF527,0.533182158236277,0.466817841763723
ETV6,10,ZNF394,0.5408899979223947,0.45911000207760533
ETV7,1,ZNF282,0.4049614379897578,0.5950385620102422
ETV7,2,GLI4,0.40726835298347985,0.5927316470165201
ETV7,3,TFE3,0.4276310771170375,0.5723689228829625
ETV7,4,TRPS1,0.461742122002465,0.538257877997535
ETV7,5,ZBTB22,0.4811457705625025,0.5188542294374975
ETV7,6,ZNF200,0.5038570064874379,0.4961429935125621
ETV7,7,ATF1,0.5061066165900316,0.49389338340996836
ETV7,8,ZBTB5,0.5083543758139474,0.4916456241860526
ETV7,9,PRDM5,0.5117716117111131,0.4882283882888869
ETV7,10,NR2C1,0.5178079176845465,0.4821920823154535
FAM200B,1,ZNF718,0.2919921915865986,0.7080078084134014
FAM200B,2,RLF,0.3924362026959316,0.6075637973040684
FAM200B,3,NR2C1,0.40975734301020517,0.5902426569897948
FAM200B,4,ZNF436,0.41463860534320984,0.5853613946567902
FAM200B,5,ZNF550,0.4235690627783041,0.5764309372216959
FAM200B,6,ATF1,0.44956400665046126,0.5504359933495387
FAM200B,7,ZNF345,0.4729842879549535,0.5270157120450465
FAM200B,8,ZBTB22,0.4743386411513504,0.5256613588486496
FAM200B,9,FOXO3,0.4748581843132015,0.5251418156867985
FAM200B,10,PRDM15,0.4889584211863748,0.5110415788136252
FOSL1,1,SRF,0.14538596825836902,0.854614031741631
FOSL1,2,ZNF626,0.20372634560541358,0.7962736543945864
FOSL1,3,SP100,0.22127206382945963,0.7787279361705404
FOSL1,4,ZNF148,0.23790514370843752,0.7620948562915625
FOSL1,5,ZNF653,0.2388379198284073,0.7611620801715927
FOSL1,6,ZSCAN21,0.24174146981318345,0.7582585301868165
FOSL1,7,ZNF7,0.25282235132891173,0.7471776486710883
FOSL1,8,TCFL5,0.27534603670931723,0.7246539632906828
FOSL1,9,RXRB,0.27721048696858164,0.7227895130314184
FOSL1,10,ETS2,0.277223266166691,0.722776733833309
FOXB1,1,ZBTB42,0.5755243491203113,0.42447565087968875
FOXB1,2,PHF1,0.5860963523187288,0.4139036476812712
FOXB1,3,ZNF322,0.6012577497596601,0.39874225024033993
FOXB1,4,DMTF1,0.6081321030407496,0.3918678969592504
FOXB1,5,STAT6,0.6158495202773484,0.3841504797226516
FOXB1,6,ZBTB37,0.6180595693629277,0.3819404306370723
FOXB1,7,RELB,0.6194392243027174,0.38056077569728264
FOXB1,8,ARID2,0.6286862982739949,0.3713137017260051
FOXB1,9,NFX1,0.6402358532658893,0.3597641467341107
FOXB1,10,ZNF655,0.6404929736868684,0.3595070263131316
FOXJ3,1,KMT2B,0.4492870665928418,0.5507129334071582
FOXJ3,2,CSRNP1,0.475839972142415,0.524160027857585
FOXJ3,3,STAT6,0.48586207248645874,0.5141379275135413
FOXJ3,4,ZBTB42,0.5146935939919555,0.48530640600804453
FOXJ3,5,TMF1,0.5192995944934109,0.4807004055065891
FOXJ3,6,JRK,0.5236161678714104,0.4763838321285896
FOXJ3,7,BATF3,0.5276467335142728,0.4723532664857272
FOXJ3,8,MYSM1,0.5517861609669095,0.44821383903309053
FOXJ3,9,NFX1,0.5666549726099837,0.43334502739001635
FOXJ3,10,SMAD5,0.5747932568781118,0.4252067431218882
FOXN3,1,STAT6,0.3840522038567573,0.6159477961432427
FOXN3,2,CREB1,0.4167673383611096,0.5832326616388904
FOXN3,3,NCOA1,0.4407936160347965,0.5592063839652035
