source_TF,target_gene,log2FC,culture_condition,evidence
ETV1,IL5,-0.6462471673224567,Stim8hr,kNN_predicted
ETV2,SYCE3,0.5720742850354837,Stim8hr,kNN_predicted
ETV3,IL10,-0.5740858888679835,Stim8hr,kNN_predicted
ETV3,IL6,0.5371965507681359,Stim8hr,kNN_predicted
ETV3L,IL22,-0.5699389712682841,Stim8hr,kNN_predicted
ETV3L,IL5,0.5611121819111996,Stim8hr,kNN_predicted
ETV3L,L1CAM,0.5053842427018738,Stim8hr,kNN_predicted
ETV5,FSCN1,0.5505190330844343,Stim8hr,kNN_predicted
ETV5,MAP2K6,0.5459039416094001,Stim8hr,kNN_predicted
EVX1,MAP2K6,0.5400500250084678,Stim8hr,kNN_predicted
FAM170A,CD180,0.5331957111188652,Stim8hr,kNN_predicted
FAM170A,IGSF3,0.6091438011998523,Stim8hr,kNN_predicted
FEV,IL5,-0.5078452636458463,Stim8hr,kNN_predicted
FEZF2,CD180,0.5151386902161433,Stim8hr,kNN_predicted
FEZF2,PLK1,-0.5038831659525597,Stim8hr,kNN_predicted
FIGLA,CXCL8,-0.5001726322498996,Stim8hr,kNN_predicted
FIGLA,MAP2K6,0.5308148504742028,Stim8hr,kNN_predicted
FIZ1,IL5,-0.5383512089367812,Stim8hr,kNN_predicted
FIZ1,ZSCAN18,0.5645560924598908,Stim8hr,kNN_predicted
FLYWCH1,CCR6,0.5180031309243234,Stim8hr,kNN_predicted
FLYWCH1,LTK,0.5349604110731421,Stim8hr,kNN_predicted
FLYWCH1,PTPN13,0.5484484170990275,Stim8hr,kNN_predicted
FOSB,CCL4,-0.5331108468462804,Stim8hr,kNN_predicted
FOXA1,CST6,-0.569321075172584,Stim8hr,kNN_predicted
FOXA1,CXCL8,-0.6738141736115197,Stim8hr,kNN_predicted
FOXA1,IL10,-0.540053223112158,Stim8hr,kNN_predicted
FOXA1,IL22,-0.8200856948902665,Stim8hr,kNN_predicted
FOXA2,IL5,-1.2297362840554018,Stim8hr,kNN_predicted
FOXB1,CCL1,-0.5072115978261983,Stim8hr,kNN_predicted
FOXB1,CCL3,-0.770832090058818,Stim8hr,kNN_predicted
FOXB1,CCL4,-0.9016117971539067,Stim8hr,kNN_predicted
FOXB1,IL13,-0.5433403668411754,Stim8hr,kNN_predicted
FOXC1,IL17RB,1.2490476531769095,Stim8hr,kNN_predicted
FOXC1,IL22,-0.5222296682211857,Stim8hr,kNN_predicted
FOXC1,MT1H,0.7301240808223508,Stim8hr,kNN_predicted
FOXC1,TCN2,0.5592925756141691,Stim8hr,kNN_predicted
FOXC2,IL10,-0.529175486184281,Stim8hr,kNN_predicted
FOXC2,IL5,-0.664509220381068,Stim8hr,kNN_predicted
FOXD1,IGSF3,0.5661025006005274,Stim8hr,kNN_predicted
FOXD2,IGSF3,0.5357788294555459,Stim8hr,kNN_predicted
FOXD2,MAP2K6,0.557195122653983,Stim8hr,kNN_predicted
FOXD4,IL22,-0.5404127597479548,Stim8hr,kNN_predicted
FOXD4L1,IL5,-0.7508736233425024,Stim8hr,kNN_predicted
FOXD4L3,CCL1,-0.7433194697992477,Stim8hr,kNN_predicted
FOXD4L3,CCL4,-0.5384353202834233,Stim8hr,kNN_predicted
FOXD4L3,CIITA,-0.5385922778425071,Stim8hr,kNN_predicted
FOXD4L3,IL22,-0.5365503581841211,Stim8hr,kNN_predicted
FOXD4L3,IL3,-0.6274630435693053,Stim8hr,kNN_predicted
FOXD4L3,IL5,-0.6983961188044229,Stim8hr,kNN_predicted
FOXD4L3,SYP,0.5983169559498075,Stim8hr,kNN_predicted
FOXD4L4,IL22,-0.5631730440824817,Stim8hr,kNN_predicted
FOXF1,CLCF1,0.5193027021921333,Stim8hr,kNN_predicted
FOXF1,HMOX1,0.5499149155363354,Stim8hr,kNN_predicted
FOXF1,IL17F,1.491446168422318,Stim8hr,kNN_predicted
FOXF2,CD8A,0.5339289245706071,Stim8hr,kNN_predicted
FOXG1,CCR6,0.5476262045029914,Stim8hr,kNN_predicted
FOXG1,LTK,0.565553221565651,Stim8hr,kNN_predicted
FOXG1,PTPN13,0.5798125669350291,Stim8hr,kNN_predicted
FOXH1,SYCE3,0.6073036984669965,Stim8hr,kNN_predicted
FOXI1,IL5,-0.5224568996427735,Stim8hr,kNN_predicted
FOXI1,ZNF347,0.5065303287832509,Stim8hr,kNN_predicted
FOXI1,ZNF844,0.5856575916206576,Stim8hr,kNN_predicted
FOXI1,ZSCAN18,0.6132187857270203,Stim8hr,kNN_predicted
FOXI2,CD180,0.5109478087847278,Stim8hr,kNN_predicted
FOXI2,IGSF3,0.5556485071875339,Stim8hr,kNN_predicted
FOXI3,IL22,-0.567848459087017,Stim8hr,kNN_predicted
FOXJ2,IL10,-0.5774933098980506,Stim8hr,kNN_predicted
FOXJ2,MAP2K6,0.537214444147607,Stim8hr,kNN_predicted
FOXJ3,IL22,-0.5476918727358895,Stim8hr,kNN_predicted
FOXK2,IL5,-0.5466661662560907,Stim8hr,kNN_predicted
FOXL1,IL17F,1.4500099771410422,Stim8hr,kNN_predicted
FOXM1,MAP2K6,0.5294627117329802,Stim8hr,kNN_predicted
FOXN1,BAIAP2L1,0.605581111908737,Stim8hr,kNN_predicted
FOXN1,F2RL1,0.5311545964497842,Stim8hr,kNN_predicted
FOXN1,LSR,0.6441901844152557,Stim8hr,kNN_predicted
FOXN1,RORC,0.5284402367535874,Stim8hr,kNN_predicted
FOXN3,IL22,-1.0162725160583672,Stim8hr,kNN_predicted
FOXN4,IL3RA,0.5261332104493133,Stim8hr,kNN_predicted
FOXO6,IL6,0.5305166803195097,Stim8hr,kNN_predicted
FOXP1,IL22,-1.0559728935010027,Stim8hr,kNN_predicted
FOXP2,CCL4,-0.5485889745365956,Stim8hr,kNN_predicted
FOXR2,IL22,-0.5630350777924373,Stim8hr,kNN_predicted
FOXS1,ZNF347,0.548637781641563,Stim8hr,kNN_predicted
FOXS1,ZNF610,0.500490502333412,Stim8hr,kNN_predicted
FOXS1,ZNF844,0.6343428292638154,Stim8hr,kNN_predicted
FOXS1,ZSCAN18,0.6641951629438739,Stim8hr,kNN_predicted
GATA1,IL10,-0.6831687120516876,Stim8hr,kNN_predicted
GATA4,IL5,-0.7433752452956506,Stim8hr,kNN_predicted
GATA5,IL5,-0.9563631587358803,Stim8hr,kNN_predicted
GATA6,CXCL8,-0.6474815356469097,Stim8hr,kNN_predicted
GATA6,IL10,-0.9145107496220186,Stim8hr,kNN_predicted
GATA6,IL22,-0.7880367702026844,Stim8hr,kNN_predicted
GATA6,LGMN,-0.7128984644282839,Stim8hr,kNN_predicted
GATAD2A,MGLL,0.5702841179344975,Stim8hr,kNN_predicted
GBX1,KLRG1,0.566528196555714,Stim8hr,kNN_predicted
GCM2,IL5,-0.5806256156169004,Stim8hr,kNN_predicted
GFI1B,IL22,-0.5705468860299017,Stim8hr,kNN_predicted
GFI1B,ZNF347,0.5139489050745831,Stim8hr,kNN_predicted
GFI1B,ZNF844,0.5942350553521429,Stim8hr,kNN_predicted
GFI1B,ZSCAN18,0.6221999070670232,Stim8hr,kNN_predicted
GLI2,IL5,-0.5358232069352477,Stim8hr,kNN_predicted
GLMP,IL22,-0.567322753474844,Stim8hr,kNN_predicted
GLMP,IL5,-0.6948142771269001,Stim8hr,kNN_predicted
GLYR1,RSAD2,0.5910960592019153,Stim8hr,kNN_predicted
GRHL2,FXYD2,0.5563494327672122,Stim8hr,kNN_predicted
GRHL2,IL10,-0.5650288577871915,Stim8hr,kNN_predicted
GRHL2,IL17F,1.4521607405358803,Stim8hr,kNN_predicted
GRHL2,MAP2K6,0.5306958540304347,Stim8hr,kNN_predicted
GRHL3,DTX3,-0.640109660593751,Stim8hr,kNN_predicted
GSC,CD180,0.5276343191216027,Stim8hr,kNN_predicted
GSC2,CCL4,-0.5322725146746984,Stim8hr,kNN_predicted
GSX2,CXCL8,-1.1651779769251793,Stim8hr,kNN_predicted
GSX2,IL10,-0.5429324987834189,Stim8hr,kNN_predicted
GSX2,IL22,-1.0720328947726094,Stim8hr,kNN_predicted
GSX2,LGMN,-0.6644115746793855,Stim8hr,kNN_predicted
GSX2,LRRC32,0.5163854505580475,Stim8hr,kNN_predicted
GTF2B,CD93,0.5565625494118792,Stim8hr,kNN_predicted
