tf,target,importance
ATF4,SNRPB,0.0249202053038659
ATF4,SNRPB2,0.007823503379002
ATF4,SNRPE,0.0531006069082272
ATF4,SOX13,1.2574535221083238
ATF4,SPATA3-AS1,0.0136393955191693
ATF4,SPOPL,0.1044284529631055
ATF4,SRBD1,0.1036289973094841
ATF4,SRFBP1,0.065629804755514
ATF4,SRP9,0.0439161239102683
ATF4,SRSF6,0.094052624202437
ATF4,ST20,0.1301007001195619
ATF4,ST3GAL2,0.1441560347883622
ATF4,ST8SIA4,0.3460213604421421
ATF4,STAT5A,0.0278149648988722
ATF4,STK16,0.0884775516171979
ATF4,STK40,0.1142687811209206
ATF4,STX11,0.061877167448941
ATF4,SUMO1,0.0482951027548247
ATF4,SUPT16H,0.0265379776699573
ATF4,SVIL,0.1756602440073875
ATF4,SVIL-AS1,0.0564579451966835
ATF4,SYF2,0.0376611145433956
ATF4,SYS1,0.1226925947784059
ATF4,SYVN1,0.1536577143058378
ATF4,SZT2,0.0849584622459821
ATF4,TAB3,0.1620461391961122
ATF4,TADA3,0.0539626059304524
ATF4,TAF11,0.0281164829102725
ATF4,TAF7,0.2391961067179889
ATF4,TAGLN2,0.0361049667519451
ATF4,TANGO2,0.2730160597523722
ATF4,TANK,0.1861526341435843
ATF4,TARS,0.4350836910823771
ATF4,TBCA,0.0448912064428244
ATF4,TBL1XR1,0.3522916781249861
ATF4,TBX21,0.2946342866344882
ATF4,TCOF1,0.0519483077666384
ATF4,TCP1,0.1893840625554876
ATF4,TCTEX1D4,0.0075356128066744
ATF4,TES,0.2521946831384411
ATF4,TFDP2,0.0735006224497383
ATF4,THAP7,0.3498304708693279
ATF4,TIMM10,0.0104826851335025
ATF4,TIMM23,0.0377919801043328
ATF4,TIMM44,1.17547940080491
ATF4,TIMMDC1,0.0676019376630545
ATF4,TINF2,0.0612827372811793
ATF4,TLR1,0.5143867102041547
ATF4,TMBIM6,0.2338520686155562
ATF4,TMED8,0.1231152438247372
ATF4,TMEM109,0.2355466603913479
ATF4,TMEM161B,0.1003147926075811
ATF4,TMEM208,0.018068917009728
ATF4,TMEM229B,1.062988434712982
ATF4,TMEM230,0.3633201399558068
ATF4,TMEM68,0.27133848546356
ATF4,TMEM87A,0.094802915251962
ATF4,TMEM8B,0.2156001186630002
ATF4,TMX2,0.0839294077131568
ATF4,TNFAIP3,0.1461056045773353
ATF4,TNFAIP8,0.1425064705588528
ATF4,TNFRSF1A,0.5355811410155746
ATF4,TOMM22,0.0117181436252253
ATF4,TP53BP1,0.1854551039318546
ATF4,TPGS1,0.0989821287173676
ATF4,TRA2B,0.0523120005532488
ATF4,TRAF7,0.0382549563880562
ATF4,TRIM4,0.1493905651546882
ATF4,TRIO,0.199547950157427
ATF4,TRMT6,0.3517475398702475
ATF4,TRMU,0.1938686438159113
ATF4,TRNT1,0.0331063124555551
ATF4,TSC2,0.1139882790306738
ATF4,TSEN15,0.4803803498628914
ATF4,TSG101,0.2831757965211039
ATF4,TSPAN15,0.7213515953829149
ATF4,TSSC4,0.0200204258102769
ATF4,TTC1,0.0335754577140609
ATF4,TTI1,0.0388343277429431
ATF4,TUBA1B,0.0463977888461135
