tf,target,importance
ATF1,VPS13D,0.1643234849606305
ATF1,VPS18,0.098490739821091
ATF1,VWCE,0.1811505148829532
ATF1,ZNF263,0.1497920009586091
ATF1,ZNF680,0.3318881746172884
ATF1,ZNF710,0.8658832180300547
ATF2,CUL4B,0.1605007630743435
ATF2,GIPR,1.132411873442153
ATF2,TMEM218,0.8049210830452843
ATF3,AASDHPPT,0.1702176732234616
ATF3,ABHD11-AS1,0.1488750802152368
ATF3,ABHD2,0.3940422719793102
ATF3,ACSL3,0.6235218881485414
ATF3,ADM2,0.1312636354333325
ATF3,AGR3,0.0255043946518148
ATF3,ALS2CL,2.675630133051171
ATF3,ANGPT2,0.2615658706488032
ATF3,ANKRD10,0.2792252369867468
ATF3,ANKRD36C,0.2244149718524735
ATF3,ANXA1,0.0671037104932896
ATF3,APP,0.0610386930435995
ATF3,APTR,0.0817838938364576
ATF3,ARHGAP12,0.6012969379144693
ATF3,ARHGAP32,0.4233231376356009
ATF3,ARL13B,0.6514039763609376
ATF3,ARMCX1,1.9773632682335545
ATF3,ASAP1,0.1796963603121669
ATF3,AVIL,0.2466472407323734
ATF3,BAG3,1.3651382505474925
ATF3,BCL3,0.0453040598431117
ATF3,BCYRN1,0.0618217689280299
ATF3,BMPR2,0.2913430520971258
ATF3,BTBD9,1.8098344794626453
ATF3,C14orf28,1.03507665251335
ATF3,C16orf91,0.0361150380003992
ATF3,C1orf194,0.0044466572675308
ATF3,C20orf195,0.0446090563585935
ATF3,C20orf85,0.398276103645402
ATF3,C22orf31,1.2200322972179083
ATF3,C6orf48,0.0726036116617362
ATF3,C6orf99,0.3070446838278227
ATF3,C8orf82,0.1749406681871847
ATF3,C9orf116,0.2350263479103195
ATF3,C9orf24,0.137277424423994
ATF3,C9orf72,0.0814765742209777
ATF3,CAP2,0.0428135501946801
ATF3,CAPN2,0.0798413432892468
ATF3,CCDC170,0.2567046697713118
ATF3,CCNH,0.1444552267267009
ATF3,CCT6P3,0.4166177688875018
ATF3,CD164L2,0.127343847583178
ATF3,CD24,0.4615292308131616
ATF3,CD83,0.0891111884659511
ATF3,CDH1,0.1636395815212766
ATF3,CDK11A,0.0864571628239436
ATF3,CDKN1A,0.1814049946042679
ATF3,CEP162,1.97032713663408
ATF3,CEP70,0.0761535392079358
ATF3,CETN2,0.0585343952085613
ATF3,CFAP157,0.1908528062588812
ATF3,CFAP43,0.4453304886189828
ATF3,CFAP45,0.3452067563457512
ATF3,CKB,0.1299006196958374
ATF3,CLDN3,0.0002543403046399
ATF3,CLDN4,0.0771195726608697
ATF3,CLIC4,0.2598530372936953
ATF3,CLTC,0.0914863693644503
ATF3,CLU,1.0375929276850466
ATF3,CLUH,0.0518043751444843
ATF3,CNN3,0.1504497011283632
ATF3,COG2,0.051996964543059
ATF3,CRB3,0.1930516630733084
ATF3,CREB5,0.5812945418981467
ATF3,CRIP1,0.0311585559791621
ATF3,CRYAB,0.0612128633191413
ATF3,CSTF2T,0.1513992459255107
ATF3,CTNNAL1,0.4388536643994944
ATF3,CUL2,0.0926453139345155
ATF3,CX3CL1,0.1035079754545711
ATF3,CXCL17,0.2987128738613762
ATF3,CXCL9,0.2659298464692455
ATF3,CYB5D2,0.2198214201493321
ATF3,DAPK3,0.365053523927575
ATF3,DCDC2B,0.0436970450335167
ATF3,DDIT3,0.3984628272000629
