source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
CREBL2,1,1,-0.7120838416116934,,-0.7120838416116934,-0.7120838416116934,1.6791562692432624e-13,1.6791562692432624e-13,1.6791562692432624e-13,Stim8hr
CREBZF,1,1,-0.9272879813289728,,-0.9272879813289728,-0.9272879813289728,0.0398794315666001,0.0398794315666001,0.0398794315666001,Rest
CSRNP1,2,2,2.4572282661608256,0.043472788573964,2.426488362563086,2.4879681697585645,2.5391787688773607e-05,0.0013714355953416,0.0013714355953416,Rest
CSRNP1,3,3,0.85988161283485,0.6027491376462234,0.3397003919702979,1.5204283956857367,0.00078479041309,0.006938607072373,0.0032154996969605,Stim48hr
CSRNP2,1,1,0.3509956649537607,,0.3509956649537607,0.3509956649537607,0.0068801055712106,0.0068801055712106,0.0068801055712106,Rest
CSRNP2,1,1,1.866344488870837,,1.866344488870837,1.866344488870837,0.0067170546878948,0.0067170546878948,0.0067170546878948,Stim8hr
CUX1,24,24,1.1917396322738636,1.0367547781515938,0.2375578843328653,3.3914898219900307,0.0001766631116336,0.0160624925887026,0.0087316881809305,Rest
CUX1,1,1,1.2422555528850698,,1.2422555528850698,1.2422555528850698,0.0432394107505391,0.0432394107505391,0.0432394107505391,Stim48hr
CUX1,1,1,0.5562861351588544,,0.5562861351588544,0.5562861351588544,0.0372909656186689,0.0372909656186689,0.0372909656186689,Stim8hr
CXXC1,358,358,0.4562137194197146,1.055568990310503,-3.4724876896978603,3.6199686531318553,2.485151114063372e-12,0.018196475595007,0.0142305442414734,Rest
CXXC1,529,529,0.1533161647148465,1.087567925965758,-5.587288987809155,4.2202757055821,1.1457444354828513e-08,0.0187422947681445,0.0164158164168589,Stim48hr
CXXC1,919,919,0.2466761078262667,0.8623628307050683,-3.655088618251269,3.358886398510983,8.845606425746853e-19,0.015082827751453,0.0097611116161443,Stim8hr
CXXC5,4,4,1.8728924561636549,3.0498897412494403,-0.7910943093166944,5.578241335253104,6.151508503996797e-08,0.0069370585440175,0.0077804169491483,Stim8hr
DDIT3,4,4,-0.46263921044421,0.1782226973217465,-0.6535076337013405,-0.2731918207484053,2.6549091711947897e-05,0.0031322845157009,0.0007342545527184,Stim48hr
DEAF1,9,9,-1.070089150992913,1.5172379906104765,-4.001245888238045,0.5829722986185988,2.931584264025173e-24,0.0083353169940968,6.198872685628929e-07,Rest
DEAF1,15,15,-0.6581760757353705,1.1429305966220655,-2.6002332050994794,0.4761903099580112,9.658018373319817e-52,0.0206346038836568,0.0158212447034473,Stim48hr
DEAF1,22,22,-0.5799956536937295,1.0816833238762118,-2.7744542060413164,1.1716737318413808,2.770882707909147e-64,0.0102230198296322,0.0009288356308834,Stim8hr
DMTF1,1,1,-3.0428227353698354,,-3.0428227353698354,-3.0428227353698354,0.0003092493831815,0.0003092493831815,0.0003092493831815,Rest
DMTF1,3,3,-0.9905139369978344,0.578881226004167,-1.5393321308550314,-0.385646951090049,0.0003061437054392,0.0186096883518984,0.0065739292002348,Stim48hr
DMTF1,2,2,-1.6277125084641302,0.9046588644364364,-2.267402926167656,-0.9880220907606044,0.0001408187974082,0.0001756145139406,0.0001756145139406,Stim8hr
DNTTIP1,169,169,0.1509637855992739,0.8453904141280009,-3.70099292822552,2.839536178174856,2.706476952369681e-38,0.0159220963555032,0.0113727909012239,Rest
DNTTIP1,1346,1346,0.1449362868037022,0.5681362141212688,-1.8369107199479195,3.630096300005376,2.5895953926216102e-99,0.0150652470621306,0.0101552068927231,Stim48hr
DNTTIP1,2074,2074,0.0911992030960118,0.5705595732395453,-2.2968069970383667,5.430191299513939,1.2978293718088636e-114,0.0122597314676142,0.0054730641987209,Stim8hr
DOT1L,71,71,1.021741881028362,0.9335517276324968,-1.666974518091997,3.525567607658235,1.6980643419551752e-05,0.0228350721661528,0.0210196219524513,Rest
