source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
AHR,RAB27B,2.1024981656753194,0.0016852494137835,9.316082719540344e-05,3.9077468860619993,Rest,1
AHR,TG,1.6713233528859126,0.0065091271946091,0.0005747159291702,3.443274370586737,Rest,1
AHR,JADE2,0.4484275654543149,5.9487761643770856e-06,7.511783576755277e-08,5.378478775286588,Rest,1
AHR,LCP2,0.1828545222835721,0.0140290845424616,0.001633730264275,3.1498165269418323,Rest,1
AHR,HSPA5,0.3158512433461442,0.0183428067301023,0.0023637681008537,3.040256415365525,Rest,1
AHR,ATP6V1H,-0.1712444461868914,0.0133272973479259,0.0015345527111866,-3.1680686666629163,Rest,1
AHR,USP28,-0.2600789303377346,0.0118633766020182,0.0013016313491878,-3.2156198403952607,Rest,1
AHR,CELF2,0.1258079379364426,0.01502036296301,0.0017829119605593,3.124196748926913,Rest,1
AHR,CLPTM1L,0.1869485594228032,0.0339051352753482,0.0057623824520912,2.761004828167684,Rest,1
AHR,NEDD4L,-1.379100634855335,0.011041339597479,0.001173395629053,-3.245269386750919,Rest,1
AHR,NFE2L3,0.465950758091069,0.0120459268529508,0.0013308125366755,3.209251013786522,Rest,1
AHR,MCUR1,0.2596269261825205,0.020480007363522,0.0027719175619695,2.991960907410844,Rest,1
AHR,LIMA1,0.6343283569079149,0.000132545322764,3.657363222840181e-06,4.629960030930676,Rest,1
AHR,CYBA,-0.15475179672868,0.0317518024673425,0.0051855436449331,-2.7952759195097205,Rest,1
AHR,PLEKHA5,1.0161049481830493,0.0330318507531506,0.0055288020247444,2.774491844662124,Rest,1
AHR,SIKE1,0.2151957229580868,0.0044284416302071,0.0003309629466406,3.5897754450979926,Rest,1
AHR,MSMO1,0.3850309890168187,0.0118822806587541,0.0013059283298134,3.2146737972900485,Rest,1
AHR,AKR7A2,-0.2571671889717142,0.0197092395638273,0.0026286225945046,-3.0081281602153043,Rest,1
AHR,KIF1B,0.3724417839660617,0.0173986262093504,0.0021877269058663,3.063488394393296,Rest,1
AHR,TBC1D22A,-0.2309969115315969,0.0376899826941535,0.0067158747574934,-2.7106140504626985,Rest,1
AHR,SYNE2,-0.4914857704202988,2.528607708833853e-05,4.564786154755717e-07,-5.043757139346475,Rest,1
AHR,GALC,-0.3257458786694723,0.0293829896106103,0.0046585134589827,-2.829744880316509,Rest,1
AHR,SZRD1,0.1428874631951781,0.0104694658955036,0.0010958125841425,3.264696929311501,Rest,1
AHR,FAM114A2,0.232532494358901,0.0158693970217529,0.001922258829218,3.101987795947203,Rest,1
AHR,CYFIP2,-0.1947798418090016,0.0050178026263921,0.0004008234442932,-3.5395410388908823,Rest,1
AHR,MCOLN3,-0.9483501227287384,3.998905136345598e-07,3.403801023360297e-09,-5.910833912952612,Rest,1
AHR,RC3H2,-0.1680838984596684,0.0238258553801531,0.0034097426556575,-2.9281602409861103,Rest,1
AHR,SOAT1,0.1803694257278049,0.0063684162225098,0.0005527911565325,3.453778521359218,Rest,1
AHR,NDC1,0.3165671302457785,0.0437971032257414,0.0083366481212593,2.6381224174385145,Rest,1
AHR,PARP12,-0.2138193079675699,0.0450110592804649,0.0087066570565897,-2.6233625405170318,Rest,1
AHR,ALDH18A1,0.2674934873766948,0.0126665467877037,0.0014252975199333,3.189478477225981,Rest,1
AHR,MXD1,-0.5843585092709982,0.000334450002869,1.1105579554627348e-05,-4.394445625958249,Rest,1
AHR,GNA15,1.4861642657602503,6.141576673357072e-08,4.251021175085805e-10,6.24452052156751,Rest,1
AHR,PIGV,-0.3902499878817096,0.0232176534248174,0.0032922984371923,-2.9390406941563727,Rest,1
AHR,SNRNP40,0.1918976948786509,0.029493409104393,0.0046898134391046,2.8276015768535503,Rest,1
AHR,ACAA1,-0.3537584834185838,8.146149055420915e-08,5.94331331328062e-10,-6.191926854951512,Rest,1
AHR,BCAT1,1.1758192734018134,0.0228092636080998,0.003211785755999,2.94670584012516,Rest,1
AHR,GPBP1,-0.2009733974321847,0.0017138700744668,9.570483906619542e-05,-3.901230826711877,Rest,1
AHR,ISOC2,0.4309739062176633,0.0098767030850683,0.0010144295529465,3.28649394354682,Rest,1
AHR,U2AF2,0.2223202836384547,0.014407030033875,0.0016885238642264,3.140165548712544,Rest,1
AHR,AHRR,-2.515030831405884,1.796210018221105e-32,1.0080684790315808e-35,-12.47609808005924,Rest,1
AHR,HAGH,-0.2163379453637538,0.0193054317008163,0.0025515456920076,-3.0171606260107344,Rest,1
AHR,CASP8,-0.2654451689274656,0.0159259544090201,0.0019305992810859,-3.1007059142976647,Rest,1
AHR,TM7SF3,0.3848437039406194,0.0001702487415334,4.841045498658749e-06,4.571560899531772,Rest,1
AHR,HIPK2,-0.6223543238844681,0.0030041554366773,0.0001983849722471,-3.721064224116652,Rest,1
AHR,TNPO3,0.1705621498351641,0.0287595393697897,0.0045166276870149,2.839627249707627,Rest,1
AHR,CTSA,-0.2923001981755689,0.0183074516739989,0.0023546735216414,-3.04141715606394,Rest,1
AHR,FAR2,1.0741753713076183,0.0117821115939256,0.0012880846408614,3.218621329648201,Rest,1
AHR,CHI3L2,0.7031434517902142,0.0238135999835285,0.0034038011821475,2.9287024239209027,Rest,1
AHR,TAF11,0.1278795384091046,0.0477108781195891,0.0094966559384983,2.5936374912254863,Rest,1
AHR,GNAI3,0.2488689100322436,7.372112514505298e-09,3.9994624061482295e-11,6.60409750484073,Rest,1
AHR,WDR18,0.2869613563307657,0.0127145244081816,0.0014342640011474,3.1876654034156493,Rest,1
AHR,TRAM2,-0.4576863070301227,0.0198350888029676,0.0026567998471471,-3.0048864835006386,Rest,1
AHR,ZC3H15,0.1676497010651048,0.0128746162117664,0.0014667741601282,3.181178121379431,Rest,1
AHR,SLK,0.1553441996958817,0.0280364444502719,0.0043584857053925,2.850978933269066,Rest,1
AHR,PRKCQ,-0.2457783221191074,0.0050368168937808,0.0004032845628169,-3.537925018666043,Rest,1
AHR,SLC9A7,1.155048494514149,2.498817526248261e-05,4.417514848572831e-07,5.050025329827693,Rest,1
AHR,ELAVL1,0.2054634726382231,0.0070912377686255,0.0006486980205514,3.410391024229864,Rest,1
AHR,DIP2B,-0.4925273142168844,1.573419596102732e-05,2.50192995358212e-07,-5.157556778080371,Rest,1
AHR,ISOC1,0.2846347866153634,0.0065016685108505,0.0005722635926209,3.444430568138064,Rest,1
AHR,ATG2B,-0.281875463468184,0.0033327104301432,0.0002275632414184,-3.686271875084187,Rest,1
AHR,IDI1,0.5385468470989235,0.0010204021762561,4.719140138012651e-05,4.069118209219956,Rest,1
